select concat(concat(last_name , ', '),job_id) as employee_and_title from employees;

-----------------------------------------
Output
-----------------------------------------
Abel, SA_REP
Ande, SA_REP
Atkinson, ST_CLERK
Austin, IT_PROG
Baer, PR_REP
Baida, PU_CLERK
Banda, SA_REP
Bates, SA_REP
Bell, SH_CLERK
Bernstein, SA_REP
Bissot, ST_CLERK
Bloom, SA_REP
Bull, SH_CLERK
Cabrio, SH_CLERK
Cambrault, SA_MAN
Cambrault, SA_REP
Chen, FI_ACCOUNT
Chung, SH_CLERK
Colmenares, PU_CLERK
Davies, ST_CLERK
De Haan, AD_VP
Dellinger, SH_CLERK
Dilly, SH_CLERK
Doran, SA_REP
Ernst, IT_PROG
Errazuriz, SA_MAN
Everett, SH_CLERK
Faviet, FI_ACCOUNT
Fay, MK_REP
Feeney, SH_CLERK
Fleaur, SH_CLERK
Fox, SA_REP
Fripp, ST_MAN
Gates, SH_CLERK
Gee, ST_CLERK
Geoni, SH_CLERK
Gietz, AC_ACCOUNT
Grant, SH_CLERK
Grant, SA_REP
Greenberg, FI_MGR
Greene, SA_REP
Hall, SA_REP
Hartstein, MK_MAN
Higgins, AC_MGR
Himuro, PU_CLERK
Hunold, IT_PROG
Hutton, SA_REP
Johnson, SA_REP
Jones, SH_CLERK
Kaufling, ST_MAN
Khoo, PU_CLERK
King, SA_REP
King, AD_PRES
Kochhar, AD_VP
Kumar, SA_REP
Ladwig, ST_CLERK
Landry, ST_CLERK
Lee, SA_REP
Livingston, SA_REP
Lorentz, IT_PROG
Mallin, ST_CLERK
Markle, ST_CLERK
Marlow, ST_CLERK
Marvins, SA_REP
Matos, ST_CLERK
Mavris, HR_REP
McCain, SH_CLERK
McEwen, SA_REP
Mikkilineni, ST_CLERK
Mourgos, ST_MAN
Nayer, ST_CLERK
OConnell, SH_CLERK
Olsen, SA_REP
Olson, ST_CLERK
Ozer, SA_REP
Partners, SA_MAN
Pataballa, IT_PROG
Patel, ST_CLERK
Perkins, SH_CLERK
Philtanker, ST_CLERK
Popp, FI_ACCOUNT
Rajs, ST_CLERK
Raphaely, PU_MAN
Rogers, ST_CLERK
Russell, SA_MAN
Sarchand, SH_CLERK
Sciarra, FI_ACCOUNT
Seo, ST_CLERK
Sewall, SA_REP
Smith, SA_REP
Smith, SA_REP
Stiles, ST_CLERK
Sullivan, SH_CLERK
Sully, SA_REP
Taylor, SA_REP
Taylor, SH_CLERK
Tobias, PU_CLERK
Tucker, SA_REP
Tuvault, SA_REP
Urman, FI_ACCOUNT
Vargas, ST_CLERK
Vishney, SA_REP
Vollman, ST_MAN
Walsh, SH_CLERK
Weiss, ST_MAN
Whalen, AD_ASST
Zlotkey, SA_MAN
